Tiempo, Transacciones_Completadas, Instr_Broadcast, Instr_Send, Latencia, Total_avg_Delay, Clk_Cycles, Time_elapsed, Monitor_Terminal, Delay_Terminal
323050,        461,         63,        398,        600,          1,      16153,     323060,          0,       600
323710,        462,         63,        399,        600,          1,      16186,     323720,          2,       600
325030,        463,         63,        400,        600,          1,      16252,     325040,          2,       600
325690,        464,         63,        401,        600,          1,      16285,     325700,          7,       600
326350,        465,         63,        402,        600,          1,      16318,     326360,          4,       600
327010,        466,         63,        403,        600,          1,      16351,     327020,          3,       600
327670,        467,         63,        404,        600,          1,      16384,     327680,          7,       600
328330,        468,         63,        405,        600,          1,      16417,     328340,          2,       600
329650,        469,         63,        406,        600,          1,      16483,     329660,          7,       600
330310,        470,         63,        407,        600,          1,      16516,     330320,          7,       600
330970,        471,         63,        408,        600,          1,      16549,     330980,          2,       600
331630,        472,         63,        409,        600,          1,      16582,     331640,          7,       600
332290,        473,         63,        410,        600,          1,      16615,     332300,          6,       600
332950,        474,         63,        411,        600,          1,      16648,     332960,          1,       600
333610,        475,         63,        412,        600,          1,      16681,     333620,          3,       600
334270,        476,         63,        413,        600,          1,      16714,     334280,          1,       600
334930,        477,         63,        414,        600,          1,      16747,     334940,          0,       600
335590,        478,         63,        415,        600,          1,      16780,     335600,          1,       600
336910,        479,         63,        416,        600,          1,      16846,     336920,          0,       600
337570,        480,         63,        417,        600,          1,      16879,     337580,          3,       600
338230,        481,         64,        417,        600,          1,      16912,     338240,          0,       600
338250,        482,         65,        417,        600,          1,      16913,     338260,          1,       600
338270,        483,         66,        417,        600,          1,      16914,     338280,          2,       600
338290,        484,         67,        417,        600,          1,      16915,     338300,          3,       600
338310,        485,         68,        417,        600,          1,      16916,     338320,          4,       600
338330,        486,         69,        417,        600,          1,      16917,     338340,          6,       600
338350,        487,         70,        417,        600,          1,      16918,     338360,          7,       600
